,,,,,,,,,,,
"$ millions, unless otherwise indicated",2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,,,,,,,,,,,
Summary external debt data by debtor type,,,,,,,,,,,
Total External debt stocks,427245.1,457507.4,478831,455541.9,511575.7,521175.7,561017.4,564979.3,611987.2,615516,646787.1
Use of IMF Credit and SDR allocations,6126.5,5763.7,5512.8,5348.1,5665.6,5532.9,5501.2,5729.8,23160.2,22022.6,22201.7
Long-term external debt,328412.5,366169.3,391755.4,366260.9,408301.5,411718.8,448736.6,455716.5,474183.4,465622.6,498265.2
Public and publicly guaranteed sector,121461.8,152515.2,162310.9,153013.3,183017.5,180540,192007.5,192805.1,205281.7,205218.3,214915.7
Public sector,121460.9,152515.2,162310.9,153013.3,183017.5,180540,192007.5,192805.1,205281.7,205218.3,214915.7
of which: General Government,83094.1,109162.3,116718.4,111101.7,142088.4,134353.8,140202.5,139479.2,144887.2,145257.5,154159.7
Private sector guaranteed by public sector,0.9,0,..,..,..,..,..,..,..,..,..
Private sector not guaranteed,206950.7,213654.2,229444.5,213247.6,225284,231178.9,256729.1,262911.4,268901.7,260404.3,283349.6
Short-term external debt,92706.1,85574.3,81562.8,83932.9,97608.6,103923.9,106779.5,103533.1,114643.5,127870.9,126320.1
Disbursements (long-term),70355.2,130004,66341.9,41976.1,78190.7,52174.1,71709.9,67698.1,61278.2,44213.9,86385
Public and publicly guaranteed sector,14149.7,46998,23118.3,11604.4,39469.9,19032.6,24617,22418.3,30077.5,19360.2,27106.1
Public sector,14149.7,46997.9,23118.3,11604.4,39469.9,19032.6,24617,22418.3,30077.5,19360.2,27106.1
of which: General Government,4695,32974.1,12567.8,6228.7,33083.6,7906.4,11597.8,14019.8,13486.7,11865.7,16131
Private sector guaranteed by public sector,0,0,0,0,0,0,0,0,0,0,0
Private sector not guaranteed,56205.6,83006,43223.6,30371.6,38720.8,33141.5,47092.9,45279.9,31200.7,24853.8,59278.9
Principal repayments (long-term),28953.6,80786.5,38772.5,65971.1,38666.6,46229.3,34762.3,63443.7,38649.5,47385.2,51412.9
Public and publicly guaranteed sector,9383.1,11649.5,11774,20471.8,11982.2,21016,13219.6,24346.1,13692.8,14367.1,15768.7
Public sector,9375.4,11648.6,11774,20471.8,11982.2,21016,13219.6,24346.1,13692.8,14367.1,15768.7
of which: General Government,7419.1,3374.1,3746.3,11409.2,4189.3,15243.9,5821.5,16957.6,5191.7,7474.6,5980
Private sector guaranteed by public sector,7.7,0.9,..,..,..,..,..,..,..,..,..
Private sector not guaranteed,19570.6,69137,26998.5,45499.3,26684.4,25213.3,21542.6,39097.6,24956.7,33018.1,35644.2
Interest payments (long-term),8633.6,10971.2,9814.1,9540.4,10346.6,13975.8,12888.4,11197.4,12228.6,15077.7,22541.7
Public and publicly guaranteed sector,1451,1840.6,1898.5,2105.2,2151.3,2615.2,3283.8,1654.7,2516.5,3246.2,6254.5
